Person,Dataset,Model,Accuracy,F1
data_ramiz,imdb,LSTM,0.58,0.27586206896551724
data_ramiz,imdb,BERT,0.52,0.6129032258064516
data_ramiz,imdb,DistilBERT,0.46,0.0
data_ramiz,imdb,RoBERTa,0.56,0.0
data_ramiz,imdb,FastText,0.52,0.45454545454545453
data_ramiz,amazon,LSTM,0.18,0.05491525423728814
data_ramiz,amazon,BERT,0.22,0.15712511091393078
data_ramiz,amazon,DistilBERT,0.16,0.044137931034482755
data_ramiz,amazon,RoBERTa,0.28,0.1225
data_ramiz,amazon,FastText,0.26,0.18305376344086022
data_ramiz,twitter,LSTM,0.32,0.15515151515151515
data_ramiz,twitter,BERT,0.36,0.19058823529411764
data_ramiz,twitter,DistilBERT,0.5,0.352283105022831
data_ramiz,twitter,RoBERTa,0.34,0.17253731343283582
data_ramiz,twitter,FastText,0.36,0.288
data_yusuf,bbc,LSTM,0.24,0.18133333333333332
data_yusuf,bbc,BERT,0.34,0.2095238095238095
data_yusuf,bbc,DistilBERT,0.24,0.11536723163841806
data_yusuf,bbc,RoBERTa,0.14,0.0343859649122807
data_yusuf,bbc,FastText,0.16,0.10272727272727274
data_yusuf,ag_news,LSTM,0.24,0.1652510760401722
data_yusuf,ag_news,BERT,0.7,0.5952592592592593
data_yusuf,ag_news,DistilBERT,0.4,0.28627450980392155
data_yusuf,ag_news,RoBERTa,0.2,0.06666666666666667
data_yusuf,ag_news,FastText,0.24,0.20340643274853804
data_yusuf,20newsgroups,LSTM,0.02,0.000784313725490196
data_yusuf,20newsgroups,BERT,0.02,0.000784313725490196
data_yusuf,20newsgroups,DistilBERT,0.08,0.012549019607843137
data_yusuf,20newsgroups,RoBERTa,0.06,0.00679245283018868
data_yusuf,20newsgroups,FastText,0.04,0.003076923076923077
data_ipek,jigsaw,LSTM,0.64,0.0
data_ipek,jigsaw,BERT,0.48,0.6486486486486487
data_ipek,jigsaw,DistilBERT,0.46,0.5846153846153846
data_ipek,jigsaw,RoBERTa,0.46,0.6301369863013698
data_ipek,jigsaw,FastText,0.46,0.0
data_ipek,wikipedia,LSTM,0.54,0.7012987012987013
data_ipek,wikipedia,BERT,0.56,0.0
data_ipek,wikipedia,DistilBERT,0.44,0.6111111111111112
data_ipek,wikipedia,RoBERTa,0.48,0.0
data_ipek,wikipedia,FastText,0.52,0.6842105263157895
data_ipek,hate_speech,LSTM,0.48,0.0
data_ipek,hate_speech,BERT,0.48,0.6486486486486487
data_ipek,hate_speech,DistilBERT,0.52,0.0
data_ipek,hate_speech,RoBERTa,0.48,0.6486486486486487
data_ipek,hate_speech,FastText,0.46,0.0
